token,class,count
ニラレバ,SSI_low,1
ニワトリ,SSI_high,1
ニワトリ,SSI_low,0
ネガ,SSI_high,0
ネガ,SSI_low,2
ハイブリッド,SSI_high,1
ハイブリッド,SSI_low,0
ハウス,SSI_high,1
ハウス,SSI_low,0
ハッピー,SSI_high,1
ハッピー,SSI_low,2
ハラスメント,SSI_high,1
ハラスメント,SSI_low,0
ハード,SSI_high,1
ハード,SSI_low,0
ハードル,SSI_high,1
ハードル,SSI_low,0
バカ,SSI_high,5
バカ,SSI_low,1
バス,SSI_high,1
バス,SSI_low,0
バタ,SSI_high,0
バタ,SSI_low,1
バランス,SSI_high,0
バランス,SSI_low,2
バルタザール,SSI_high,0
バルタザール,SSI_low,1
バレー,SSI_high,0
バレー,SSI_low,1
パクリ,SSI_high,0
パクリ,SSI_low,1
パターン,SSI_high,0
パターン,SSI_low,1
パナ,SSI_high,1
パナ,SSI_low,0
パフォーマンス,SSI_high,0
パフォーマンス,SSI_low,3
パリ,SSI_high,0
パリ,SSI_low,1
パン,SSI_high,1
パン,SSI_low,0
パンク,SSI_high,0
パンク,SSI_low,1
パー,SSI_high,1
パー,SSI_low,0
パーティ,SSI_high,1
パーティ,SSI_low,0
ヒアリング,SSI_high,1
ヒアリング,SSI_low,0
ヒガシ,SSI_high,0
ヒガシ,SSI_low,1
ヒヤヒヤ,SSI_high,0
ヒヤヒヤ,SSI_low,1
ビジネス,SSI_high,0
ビジネス,SSI_low,2
ビジネスチャンス,SSI_high,1
ビジネスチャンス,SSI_low,0
ピアノ,SSI_high,0
ピアノ,SSI_low,1
ファミリー,SSI_high,0
ファミリー,SSI_low,1
フィードバック,SSI_high,0
フィードバック,SSI_low,1
フィールド,SSI_high,0
フィールド,SSI_low,1
フランス,SSI_high,1
フランス,SSI_low,1
フリ,SSI_high,6
フリ,SSI_low,1
フリーズ,SSI_high,0
フリーズ,SSI_low,1
フル,SSI_high,1
フル,SSI_low,2
ブランド,SSI_high,0
ブランド,SSI_low,2
ブルー,SSI_high,0
ブルー,SSI_low,1
プラ,SSI_high,1
プラ,SSI_low,1
プライド,SSI_high,0
プライド,SSI_low,1
プライベート,SSI_high,0
プライベート,SSI_low,2
プラス,SSI_high,2
プラス,SSI_low,0
プランニング,SSI_high,0
プランニング,SSI_low,1
プレ,SSI_high,0
プレ,SSI_low,3
プレゼン,SSI_high,4
プレゼン,SSI_low,6
プレッシャー,SSI_high,0
プレッシャー,SSI_low,1
プレー,SSI_high,1
プレー,SSI_low,0
プロ,SSI_high,0
プロ,SSI_low,1
プロセス,SSI_high,1
プロセス,SSI_low,0
